CUSTOMER_CITY,REVENUE
Teresina,60504.35
Sao Goncalo,61607.53
Vitoria,62722.42
Joao Pessoa,63070.91
Sao Luis,63411.79
Campo Grande,65485.25
Nova Iguacu,70823.75
Ribeirao Preto,75408.3
Juiz De Fora,75595.07
Sorocaba,87148.84
Sao Jose Dos Campos,89987.31
Jundiai,91406.77
Osasco,94000.72
Belem,96661.62
Florianopolis,99925.37
Santo Andre,104721.52
Recife,110023.52
Santos,111670.21
Fortaleza,118646.07
Sao Bernardo Do Campo,119024.85
Goiania,124060.53
Niteroi,137919.38
Guarulhos,163575.82
Campinas,212541.7
Salvador,216772.4
Porto Alegre,224064.09
Curitiba,244739.87
Brasilia,352305.14
Belo Horizonte,416733.39
Rio De Janeiro,1154234.02
Sao Paulo,2170227.12
Sao Domingos Do Sul,
Doutor Mauricio Cardoso,
Alto Bela Vista,
Caetanos,
Palmital De Minas,
Monteiro Lobato,
Pirapemas,
Jataizinho,
Lidice,
